Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Role
4,4,2,1,3,5,7,7,5,6,4,7,6,5,1,4,6,API Integration Specialist
3,5,4,4,4,2,5,3,4,3,3,4,5,4,4,5,5,API Integration Specialist
3,5,4,4,4,2,5,3,4,3,3,4,5,4,4,5,5,API Integration Specialist
7,6,5,5,6,7,6,6,7,6,7,6,7,6,4,5,3,AI ML Specialist
7,6,5,5,6,7,6,6,7,6,7,6,7,6,4,5,3,AI ML Specialist
7,6,5,5,6,7,6,6,7,6,7,6,7,6,4,5,3,AI ML Specialist
7,6,5,5,6,7,6,6,7,6,7,6,7,6,4,5,3,AI ML Specialist
7,6,5,5,6,7,6,6,7,6,7,6,7,6,4,5,3,AI ML Specialist
7,6,5,5,6,7,6,6,7,6,7,6,7,6,4,5,3,AI ML Specialist
7,6,5,5,6,7,6,6,7,6,7,6,7,6,4,5,3,AI ML Specialist
7,1,2,3,4,7,7,7,7,6,7,7,7,3,2,1,1,API Integration Specialist
